,date,variable,value
0,2000-01-03 00:00:00,A,0.3970180055787111
1,2000-01-04 00:00:00,A,0.6211088243433798
2,2000-01-05 00:00:00,A,-2.5082841002429745
3,2000-01-03 00:00:00,B,0.21979588677202364
4,2000-01-04 00:00:00,B,1.3710270580007788
5,2000-01-05 00:00:00,B,-1.0055042898048039
6,2000-01-03 00:00:00,C,-0.39114867992720065
7,2000-01-04 00:00:00,C,1.209345749759747
8,2000-01-05 00:00:00,C,-0.05961654675455294
9,2000-01-03 00:00:00,D,-0.4645580899791357
10,2000-01-04 00:00:00,D,-0.1736052396445405
11,2000-01-05 00:00:00,D,-1.6496321207508482
