FrontTireDisplacement,RearTireDisplacement,Delay,Speed
2,0,0.2,10
2.20066181245912,0,0.198019801980198,10.1
2.40125813061092,0,0.196078431372549,10.2
2.59963242843241,0,0.194174757281553,10.3
2.79354858068645,0,0.192307692307692,10.4
2.9807151606523,0,0.19047619047619,10.5
3.15881248527843,0,0.188679245283019,10.6
3.32552222015206,0,0.186915887850467,10.7
3.47855929173604,0,0.185185185185185,10.8
3.61570578692116,0,0.18348623853211,10.9
3.73484645118803,0,0.181818181818182,11
3.83400532785553,0,0.18018018018018,11.1
3.91138301346885,0,0.178571428571429,11.2
3.96539393996563,0,0.176991150442478,11.3
3.99470303461145,0,0.175438596491228,11.4
3.99826105569359,0,0.173913043478261,11.5
3.97533785756722,0,0.172413793103448,11.6
3.92555280488033,0,0.170940170940171,11.7
3.84890153468421,0,0.169491525423729,11.8
3.74577825864977,2.16072911346228,0.168067226890756,11.9
3.61699280763918,2.39730549380005,0.166666666666667,12
3.46378164915052,2.62960980462627,0.165289256198347,12.1
3.28781215615814,2.85444488421601,0.163934426229508,12.2
3.09117947481224,3.06849772824054,0.16260162601626,12.3
2.87639542917002,3.26838695890429,0.161290322580645,12.4
2.64636901399937,3.45079907875104,0.16,12.5
2.40437816160545,3.61254572942842,0.158730158730159,12.6
2.15403262488722,3.74785824948377,0.15748031496063,12.7
1.89922799510771,3.85586539150414,0.15625,12.8
1.64409106714791,3.93466772400302,0.155038759689922,12.9
1.39291697458314,3.98230799899031,0.153846153846154,13
1.15009873830557,3.99726667425579,0.152671755725191,13.1
0.920050101412803,3.97851336553277,0.151515151515152,13.2
0.707122754766018,3.92555280488033,0.150375939849624,13.3
0.515519286393368,3.83497771682302,0.149253731343284,13.4
0.349203407573087,3.71129177804442,0.148148148148148,13.5
0.211809212269161,3.55596263662295,0.147058823529412,13.6
0.106551407526229,3.37108989975535,0.145985401459854,13.7
0.0361386031558695,3.15939897650367,0.144927536231884,13.8
0.00269186222502049,2.9242218360944,0.143884892086331,13.9
0.00767078232831864,2.66946403560285,0.142857142857143,14
0.0518093946423064,2.3994306213541,0.141843971631206,14.1
0.135064127241831,2.11905944040768,0.140845070422535,14.2
0.256575975965992,1.83469920009843,0.13986013986014,14.3
0.41464885632385,1.55196157373612,0.138888888888889,14.4
